Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Years,New_Item_Type
200,404,2,13166,2027,0,1,2,0,176,5,1
528,243,2,4795,5989,6,2,1,1,2196,2,1
1075,322,0,5986,1182,2,1,1,1,774,1,1
605,378,0,569,2142,6,2,1,1,775,2,1
86,339,0,13352,1615,8,2,0,1,974,6,0
1048,394,0,10595,807,2,1,1,1,816,1,1
55,260,0,9542,4345,1,0,2,1,694,7,0
1444,406,1,3682,296,7,1,1,1,649,3,2
1186,324,0,3802,5563,5,1,2,3,3443,8,1
1340,332,1,8368,4720,8,2,0,1,1195,6,2
1476,324,1,12530,6874,5,1,2,3,3374,8,2
910,261,0,296,2430,0,1,2,0,69,5,1
394,199,0,537,5917,3,1,2,2,833,0,1
1428,151,1,8775,3076,8,2,0,1,1547,6,2
453,324,0,7164,4934,5,1,2,3,3066,8,1
228,130,0,4555,1106,7,1,1,1,1110,3,1
1152,284,0,5217,1963,2,1,1,1,507,1,1
1407,386,1,6842,3771,0,1,2,0,261,5,2
1289,212,1,1609,4480,6,2,1,1,1173,2,2
1538,280,1,5910,2580,2,1,1,1,1368,1,2
1436,325,1,9886,2593,7,1,1,1,1670,3,2
1288,367,1,2908,5431,9,1,0,1,1986,4,2
479,337,2,12140,817,6,2,1,1,802,2,1
743,387,0,4689,7477,9,1,0,1,3410,4,1
198,361,0,7240,6943,6,2,1,1,3292,2,1
1274,377,1,9247,4737,6,2,1,1,1303,2,2
179,414,0,12782,5462,6,2,1,1,502,2,1
1428,151,1,8772,3148,6,2,1,1,1547,2,2
94,343,0,12693,717,2,1,1,1,896,1,0
843,336,2,2589,4767,3,1,2,2,1432,0,1
470,334,2,8416,6321,3,1,2,2,2039,0,1
104,324,0,4974,0,5,1,2,3,798,8,0
1132,162,0,5132,6924,8,2,0,1,2266,6,1
1344,385,1,837,6847,3,1,2,2,2481,0,2
216,31,2,3311,3781,3,1,2,2,259,0,1
661,387,0,12734,2345,2,1,1,1,1505,1,1
20,336,0,3425,3864,2,1,1,1,1373,1,0
797,337,2,7194,4479,1,0,2,1,1870,7,1
631,337,2,5027,885,1,0,2,1,1123,7,1
824,324,0,8830,2227,5,1,2,3,1441,8,1
1037,56,0,5573,6818,3,1,2,2,2346,0,1
47,153,0,8233,2994,8,2,0,1,1953,6,0
1109,72,2,10140,6624,8,2,0,1,2040,6,1
113,396,2,8849,7144,2,1,1,1,3104,1,0
750,352,0,1858,6678,2,1,1,1,2080,1,1
611,318,2,5125,3497,3,1,2,2,1398,0,1
1278,324,1,2491,6368,5,1,2,3,3150,8,2
1075,322,0,5978,1150,3,1,2,2,575,0,1
1401,342,1,1568,4905,6,2,1,1,1657,2,2
568,367,0,11663,5229,2,1,1,1,2576,1,1
627,314,2,6909,4334,1,0,2,1,1146,7,1
892,328,2,5322,5490,1,0,2,1,2637,7,1
488,378,0,13435,3038,0,1,2,0,334,5,1
857,380,0,9476,6269,0,1,2,0,546,5,1
215,319,2,7631,2037,7,1,1,1,875,3,1
1499,314,1,10354,1581,0,1,2,0,141,5,2
142,324,2,13426,371,4,2,0,0,12,8,0
707,306,0,13279,4605,7,1,1,1,2182,3,1
797,324,2,7177,4404,5,1,2,3,3250,8,1
1049,308,0,151,6341,7,1,1,1,861,3,1
1426,324,1,11924,3166,4,2,0,0,233,8,2
1008,45,2,8576,2932,1,0,2,1,1155,7,1
926,324,2,6031,6942,5,1,2,3,2919,8,1
578,309,2,5474,2355,3,1,2,2,877,0,1
694,324,2,10104,4944,4,2,0,0,611,8,1
1523,337,1,3063,3722,9,1,0,1,708,4,2
319,399,2,1408,5530,7,1,1,1,1786,3,1
1277,98,1,9833,1714,9,1,0,1,1720,4,2
1029,296,0,12574,2527,9,1,0,1,1346,4,1
616,47,2,8514,8023,9,1,0,1,2921,4,1
150,315,2,6132,4878,7,1,1,1,2242,3,1
951,365,0,1710,709,3,1,2,2,442,0,1
1530,324,1,1082,5653,5,1,2,3,3025,8,2
932,298,0,4923,181,8,2,0,1,510,6,1
221,391,2,10297,625,8,2,0,1,864,6,1
1420,343,1,7135,7280,9,1,0,1,3247,4,2
343,324,2,10377,1192,5,1,2,3,1647,8,1
1157,324,2,10556,7118,5,1,2,3,3100,8,1
1402,389,1,6285,2559,7,1,1,1,678,3,2
340,20,2,4992,4782,6,2,1,1,2323,2,1
688,384,0,6534,3840,7,1,1,1,1373,3,1
484,324,0,8913,5446,5,1,2,3,3343,8,1
480,350,0,6315,7386,8,2,0,1,2694,6,1
371,356,2,5119,1584,0,1,2,0,318,5,1
424,334,0,7730,525,9,1,0,1,710,4,1
44,362,0,2194,5960,7,1,1,1,2499,3,0
903,324,2,6220,2676,4,2,0,0,309,8,1
1150,326,0,13026,271,0,1,2,0,227,5,1
104,288,0,5016,19,6,2,1,1,109,2,0
13,335,0,6978,7441,6,2,1,1,3168,2,0
616,47,2,8823,7996,2,1,1,1,1963,1,1
1298,398,1,2785,2184,7,1,1,1,1076,3,2
1558,344,1,9167,4769,0,1,2,0,315,5,2
323,109,2,12665,3708,0,1,2,0,107,5,1
854,67,2,9910,3750,0,1,2,0,257,5,1
753,334,2,12163,7871,0,1,2,0,257,5,1
1129,373,0,12799,4736,1,0,2,1,2520,7,1
175,82,0,491,296,6,2,1,1,976,2,1
1185,7,2,12135,812,9,1,0,1,1566,4,1
277,28,2,11272,1859,2,1,1,1,1184,1,1
448,360,2,11007,167,8,2,0,1,264,6,1
937,171,0,6192,3346,2,1,1,1,2459,1,1
91,323,0,7422,4770,1,0,2,1,1830,7,0
1424,324,1,1291,6546,4,2,0,0,206,8,2
1082,409,0,2255,3462,1,0,2,1,2153,7,1
43,324,0,6080,4363,4,2,0,0,131,8,0
907,272,0,8815,1522,6,2,1,1,1337,2,1
1137,324,0,10559,5618,5,1,2,3,2229,8,1
1536,324,1,58,4940,5,1,2,3,2930,8,2
413,324,2,12339,5120,5,1,2,3,2408,8,1
614,338,0,11800,1775,7,1,1,1,971,3,1
365,175,0,2844,4372,6,2,1,1,1946,2,1
1294,327,1,10430,510,8,2,0,1,565,6,2
126,324,0,5244,6114,5,1,2,3,1760,8,0
904,324,2,9296,3198,4,2,0,0,91,8,1
215,319,2,7614,2048,1,0,2,1,1518,7,1
1133,324,0,9416,2793,5,1,2,3,1623,8,1
1499,324,1,7035,1528,5,1,2,3,235,8,2
1472,374,1,11198,7606,7,1,1,1,3355,3,2
1469,360,1,1701,399,2,1,1,1,593,1,2
1505,390,1,6268,6085,6,2,1,1,2307,2,2
1211,365,2,7417,6967,2,1,1,1,3400,1,1
100,338,0,9639,7010,6,2,1,1,2297,2,0
553,203,0,383,7547,6,2,1,1,2549,2,1
1186,316,0,3830,5515,1,0,2,1,2411,7,1
1002,318,2,7024,4847,6,2,1,1,849,2,1
606,294,0,2833,1367,9,1,0,1,508,4,1
359,376,0,2807,7949,2,1,1,1,3065,1,1
40,324,0,6991,4359,4,2,0,0,298,8,0
591,372,0,11955,2912,3,1,2,2,1422,0,1
1042,194,0,9696,1135,9,1,0,1,690,4,1
526,314,2,10050,3540,1,0,2,1,1484,7,1
397,329,2,13027,5181,7,1,1,1,2560,3,1
777,324,0,12613,349,4,2,0,0,10,8,1
1077,239,0,10361,743,2,1,1,1,256,1,1
1343,246,1,12495,2196,1,0,2,1,186,7,2
1169,377,2,8723,2844,7,1,1,1,1364,3,1
877,276,0,13251,3610,2,1,1,1,2896,1,1
538,325,2,2179,6918,1,0,2,1,2989,7,1
102,182,0,7266,2158,6,2,1,1,1185,2,0
409,283,2,6049,7478,2,1,1,1,1040,1,1
1197,333,2,11469,7070,7,1,1,1,3100,3,1
653,262,0,8361,5366,7,1,1,1,1412,3,1
1477,365,1,9841,6208,1,0,2,1,1919,7,2
410,377,0,6770,427,1,0,2,1,873,7,1
407,209,0,925,1722,1,0,2,1,932,7,1
429,360,0,5237,141,2,1,1,1,300,1,1
635,358,0,5475,5483,1,0,2,1,1895,7,1
1070,271,2,6949,3658,8,2,0,1,1190,6,1
889,405,0,9743,7873,1,0,2,1,1636,7,1
815,102,0,10810,1744,1,0,2,1,1518,7,1
573,400,0,13,8006,6,2,1,1,3208,2,1
593,370,0,4242,1988,8,2,0,1,1628,6,1
441,324,0,3697,5234,5,1,2,3,3405,8,1
1210,369,0,9154,7771,1,0,2,1,3415,7,1
1169,377,2,8748,2822,2,1,1,1,428,1,1
553,203,0,1245,7579,0,1,2,0,472,5,1
1223,324,0,5333,3551,5,1,2,3,2511,8,1
1239,194,2,4513,2497,3,1,2,2,673,0,1
1552,196,1,13394,7659,6,2,1,1,3266,2,2
1315,324,1,3543,2401,5,1,2,3,1658,8,2
35,409,0,1869,4403,2,1,1,1,1750,1,0
511,324,0,13434,6001,4,2,0,0,538,8,1
949,78,2,349,4322,6,2,1,1,1744,2,1
321,383,0,9278,4156,0,1,2,0,291,5,1
1294,327,1,10466,549,3,1,2,2,525,0,2
232,404,2,1461,6812,6,2,1,1,3152,2,1
1498,250,1,11491,2159,9,1,0,1,1048,4,2
47,153,0,8247,2966,7,1,1,1,535,3,0
633,324,2,7193,5277,5,1,2,3,2592,8,1
368,326,0,3750,6357,7,1,1,1,1158,3,1
447,142,0,7051,3946,3,1,2,2,1480,0,1
1066,324,2,11341,6251,5,1,2,3,3135,8,1
1214,220,0,3508,2108,9,1,0,1,813,4,1
563,143,0,141,619,6,2,1,1,545,2,1
1398,66,1,9149,3885,8,2,0,1,1185,6,2
337,395,2,6098,1539,2,1,1,1,826,1,1
996,71,0,5632,2325,8,2,0,1,1801,6,1
1027,324,2,2890,1845,5,1,2,3,2310,8,1
1032,324,2,10749,3507,4,2,0,0,249,8,1
1465,378,1,671,4989,6,2,1,1,3224,2,2
706,380,0,12592,2085,3,1,2,2,972,0,1
36,286,0,12866,6890,7,1,1,1,3430,3,0
140,359,0,12416,7583,2,1,1,1,2044,1,0
205,169,0,12629,7349,7,1,1,1,3085,3,1
823,142,0,1960,2267,3,1,2,2,781,0,1
1135,93,0,3180,2035,8,2,0,1,902,6,1
1131,392,0,10252,7188,6,2,1,1,2197,2,1
303,404,2,963,6143,6,2,1,1,2588,2,1
145,349,2,6542,1051,8,2,0,1,499,6,1
894,109,2,11689,1896,8,2,0,1,1819,6,1
646,324,2,3236,1090,5,1,2,3,1357,8,1
211,368,2,6319,2928,1,0,2,1,726,7,1
385,141,0,10080,3055,7,1,1,1,1072,3,1
169,96,0,3837,4183,7,1,1,1,789,3,1
240,391,2,13189,6985,0,1,2,0,430,5,1
230,331,0,12343,4163,7,1,1,1,2598,3,1
1190,324,0,5230,4125,5,1,2,3,2803,8,1
141,324,0,5065,3385,5,1,2,3,3122,8,0
1146,290,2,11926,6859,9,1,0,1,2989,4,1
18,349,0,6027,1176,2,1,1,1,835,1,0
271,307,2,215,4272,2,1,1,1,1535,1,1
223,410,0,1867,2499,9,1,0,1,1827,4,1
1368,291,1,12694,6174,0,1,2,0,373,5,2
1059,365,0,3630,4919,1,0,2,1,865,7,1
1242,289,2,2015,2413,7,1,1,1,1406,3,1
1521,324,1,1535,3705,5,1,2,3,2360,8,2
1065,331,0,5886,6674,7,1,1,1,2614,3,1
73,408,0,9970,1406,1,0,2,1,298,7,0
690,324,0,10143,4650,5,1,2,3,2754,8,1
1011,363,0,4163,7890,7,1,1,1,2808,3,1
689,324,2,6817,7068,5,1,2,3,3475,8,1
263,324,0,13435,1426,4,2,0,0,225,8,1
691,324,2,1708,3681,5,1,2,3,1610,8,1
1433,34,1,5736,2414,8,2,0,1,2358,6,2
778,350,2,9597,6801,7,1,1,1,3310,3,1
373,358,2,4488,3409,2,1,1,1,1563,1,1
617,202,2,10159,2548,2,1,1,1,2104,1,1
1206,324,2,588,4891,5,1,2,3,2064,8,1
839,375,2,7420,1852,1,0,2,1,509,7,1
1542,155,1,3450,5286,1,0,2,1,2789,7,2
1544,404,1,2590,5578,7,1,1,1,2012,3,2
520,324,0,9961,6030,4,2,0,0,368,8,1
83,360,0,10916,1067,9,1,0,1,647,4,0
597,73,0,438,1279,9,1,0,1,1522,4,1
1430,396,1,1101,5635,9,1,0,1,2343,4,2
1275,393,1,8852,6320,9,1,0,1,2252,4,2
1137,368,0,8754,5585,3,1,2,2,1920,0,1
773,410,2,6827,2532,3,1,2,2,1480,0,1
866,342,2,7545,7884,7,1,1,1,3133,3,1
939,310,2,8076,7136,1,0,2,1,3267,7,1
77,208,0,3913,5276,8,2,0,1,1938,6,0
973,189,2,7837,908,9,1,0,1,1062,4,1
446,394,2,3960,3904,8,2,0,1,2682,6,1
447,142,0,7015,3925,8,2,0,1,2263,6,1
677,324,2,7673,4958,5,1,2,3,3014,8,1
455,312,2,8960,1527,8,2,0,1,974,6,1
539,324,0,13335,2301,5,1,2,3,1999,8,1
134,317,0,1258,5479,3,1,2,2,798,0,0
1426,293,1,8435,3176,8,2,0,1,2034,6,2
1166,341,0,9115,1595,7,1,1,1,784,3,1
934,297,0,11111,1020,9,1,0,1,612,4,1
1138,324,0,12754,5655,4,2,0,0,170,8,1
420,215,0,11881,6529,1,0,2,1,2489,7,1
305,213,2,8915,7769,6,2,1,1,3042,2,1
880,280,2,8924,2740,2,1,1,1,1940,1,1
612,408,2,5818,6565,3,1,2,2,1086,0,1
599,358,2,11677,2804,2,1,1,1,1044,1,1
1220,324,2,9683,1089,5,1,2,3,1395,8,1
1527,324,1,6412,6150,4,2,0,0,369,8,2
1273,366,1,4283,5541,7,1,1,1,2637,3,2
1123,272,0,7676,5375,6,2,1,1,3435,2,1
726,120,2,5034,335,1,0,2,1,732,7,1
1107,396,0,9308,5480,3,1,2,2,1059,0,1
209,178,0,6686,6210,8,2,0,1,3182,6,1
384,383,2,620,1003,1,0,2,1,1213,7,1
1018,369,0,7202,5096,1,0,2,1,2309,7,1
1189,168,2,11045,6616,6,2,1,1,2751,2,1
1141,324,2,957,7093,5,1,2,3,3104,8,1
853,324,0,12909,200,5,1,2,3,1113,8,1
768,336,2,9490,3231,3,1,2,2,1733,0,1
613,106,2,5641,173,2,1,1,1,1003,1,1
854,67,2,10626,3725,8,2,0,1,2445,6,1
214,353,0,2719,1765,6,2,1,1,569,2,1
269,360,0,12153,2201,6,2,1,1,1048,2,1
963,352,0,3541,7189,0,1,2,0,448,5,1
747,324,2,9549,802,5,1,2,3,659,8,1
35,409,0,1836,4295,8,2,0,1,1936,6,0
642,295,0,12880,3967,8,2,0,1,1918,6,1
1191,181,0,11983,4872,7,1,1,1,2612,3,1
1071,381,2,12470,1869,8,2,0,1,724,6,1
968,324,0,13318,7005,4,2,0,0,809,8,1
1316,385,1,9719,6046,7,1,1,1,2314,3,2
815,102,0,10827,1705,9,1,0,1,1357,4,1
689,335,2,6863,7043,9,1,0,1,2530,4,1
415,413,2,120,5250,8,2,0,1,2151,6,1
1193,298,2,487,4973,3,1,2,2,1974,0,1
1307,269,1,10017,807,7,1,1,1,900,3,2
1371,324,1,2787,737,5,1,2,3,659,8,2
1357,299,1,4052,1762,7,1,1,1,406,3,2
965,334,0,1132,7073,6,2,1,1,3368,2,1
1535,391,1,1351,6515,8,2,0,1,2571,6,2
1003,324,2,4060,3046,5,1,2,3,1750,8,1
1086,324,0,7722,657,4,2,0,0,18,8,1
370,125,0,6855,6572,9,1,0,1,3196,4,1
652,302,2,5890,292,8,2,0,1,636,6,1
821,368,0,1989,2810,1,0,2,1,1493,7,1
139,324,0,9832,3553,5,1,2,3,2280,8,0
906,351,0,2933,4279,8,2,0,1,1238,6,1
1556,298,1,486,7265,0,1,2,0,653,5,2
1245,377,0,194,5284,3,1,2,2,2765,0,1
441,395,0,3718,5333,8,2,0,1,492,6,1
1283,358,1,12905,1063,8,2,0,1,746,6,2
245,382,0,13313,4524,2,1,1,1,1286,1,1
363,295,2,1335,7304,6,2,1,1,1826,2,1
1095,324,0,1553,352,4,2,0,0,50,8,1
222,108,0,1270,6516,7,1,1,1,757,3,1
1284,391,1,2840,3600,2,1,1,1,2145,1,2
823,142,0,4422,2267,0,1,2,0,285,5,1
203,329,0,4288,5590,7,1,1,1,2314,3,1
1101,402,2,2031,6941,9,1,0,1,2397,4,1
165,405,2,3252,7779,3,1,2,2,3162,0,1
1505,390,1,6281,5990,9,1,0,1,3341,4,2
1211,365,2,7393,6954,9,1,0,1,3166,4,1
1049,308,0,152,6253,3,1,2,2,2988,0,1
673,376,0,1083,5654,3,1,2,2,2248,0,1
1071,381,2,12478,1820,7,1,1,1,724,3,1
1236,205,0,1300,762,7,1,1,1,760,3,1
1085,324,0,12509,170,4,2,0,0,7,8,1
967,404,2,590,5740,8,2,0,1,3004,6,1
362,356,2,12823,4236,9,1,0,1,549,4,1
65,324,0,7313,2000,4,2,0,0,358,8,0
1089,324,2,13435,4533,4,2,0,0,134,8,1
80,355,0,1638,6710,1,0,2,1,2198,7,0
1466,294,1,6581,6396,8,2,0,1,1297,6,2
211,368,2,6337,3048,7,1,1,1,633,3,1
612,408,2,5806,6592,9,1,0,1,1518,4,1
198,361,0,7232,6855,1,0,2,1,2486,7,1
491,337,0,4905,5569,8,2,0,1,1691,6,1
1122,326,0,2059,5596,8,2,0,1,2405,6,1
773,410,2,6815,2598,7,1,1,1,580,3,1
1355,320,1,13000,3288,9,1,0,1,1663,4,2
530,123,0,2118,7924,3,1,2,2,2390,0,1
972,296,0,2865,2402,6,2,1,1,1089,2,1
874,324,2,12440,684,4,2,0,0,21,8,1
68,255,0,10881,535,1,0,2,1,720,7,0
1511,390,1,1191,3676,2,1,1,1,2255,1,2
1435,324,1,850,965,5,1,2,3,1879,8,2
332,348,0,10040,3869,6,2,1,1,977,2,1
464,406,2,1526,1685,8,2,0,1,1444,6,1
1225,197,2,12764,773,3,1,2,2,194,0,1
1090,384,0,9707,6278,7,1,1,1,852,3,1
1004,296,2,501,1749,1,0,2,1,1991,7,1
1311,321,1,10660,5101,6,2,1,1,2121,2,2
889,324,0,9710,7887,5,1,2,3,3472,8,1
200,404,2,10615,2059,8,2,0,1,1536,6,1
7,324,2,2371,296,5,1,2,3,1096,8,0
1290,349,1,5418,3845,1,0,2,1,1902,7,2
789,229,0,3199,226,1,0,2,1,278,7,1
154,360,0,8966,223,2,1,1,1,690,1,1
1227,328,0,1766,3140,8,2,0,1,1428,6,1
1516,78,1,3530,2862,2,1,1,1,1845,1,2
87,374,0,5112,5235,3,1,2,2,2826,0,0
710,46,0,8338,3252,6,2,1,1,1604,2,1
1488,333,1,372,5330,1,0,2,1,1524,7,2
439,298,0,6372,1879,2,1,1,1,1617,1,1
407,209,0,938,1716,7,1,1,1,1978,3,1
861,323,2,8729,6085,3,1,2,2,981,0,1
1333,319,1,8760,7514,7,1,1,1,2413,3,2
172,62,0,53,5756,7,1,1,1,1348,3,1
1012,324,0,3758,5749,5,1,2,3,3447,8,1
923,351,2,638,3780,9,1,0,1,1381,4,1
987,320,0,2738,955,8,2,0,1,733,6,1
566,340,0,11861,1706,8,2,0,1,1018,6,1
1498,250,1,11476,2069,6,2,1,1,766,2,2
1059,365,0,6554,4866,0,1,2,0,147,5,1
632,70,2,8744,4330,7,1,1,1,916,3,1
1430,396,1,1105,5763,7,1,1,1,1706,3,2
807,288,2,456,5639,1,0,2,1,2145,7,1
112,262,0,8603,7204,6,2,1,1,2200,2,0
1090,384,0,9491,6284,8,2,0,1,2352,6,1
236,415,0,11277,7820,0,1,2,0,491,5,1
836,398,0,7869,5307,6,2,1,1,2174,2,1
682,324,0,7624,1935,5,1,2,3,1652,8,1
952,367,0,10646,3163,7,1,1,1,826,3,1
1128,324,0,12053,1323,4,2,0,0,40,8,1
466,304,0,4124,3801,8,2,0,1,1294,6,1
448,324,2,13431,173,4,2,0,0,6,8,1
1495,324,1,10342,4328,4,2,0,0,129,8,2
697,324,2,3260,7542,5,1,2,3,2429,8,1
1446,240,1,1192,6209,2,1,1,1,2747,1,2
658,339,0,7020,7413,0,1,2,0,669,5,1
755,107,0,9608,3660,6,2,1,1,1172,2,1
1063,353,2,7764,5447,9,1,0,1,1786,4,1
1090,384,0,9691,6267,1,0,2,1,1792,7,1
863,324,2,10511,6285,5,1,2,3,3383,8,1
176,361,2,10419,1822,6,2,1,1,915,2,1
1329,393,1,4736,3620,7,1,1,1,1097,3,2
1374,318,1,1207,3162,2,1,1,1,1780,1,2
326,262,0,2676,6470,9,1,0,1,2870,4,1
201,304,0,13435,7985,0,1,2,0,499,5,1
262,361,2,7695,1399,2,1,1,1,1480,1,1
352,324,0,2748,2658,5,1,2,3,2108,8,1
555,280,0,9569,440,3,1,2,2,391,0,1
1091,309,2,5228,6401,3,1,2,2,1698,0,1
1533,293,1,9766,4006,2,1,1,1,1307,1,2
1391,286,1,4759,1616,6,2,1,1,1582,2,2
132,324,0,9628,2180,4,2,0,0,63,8,0
803,409,0,12643,6111,0,1,2,0,705,5,1
567,291,0,2782,3643,7,1,1,1,1826,3,1
559,42,0,7746,7830,3,1,2,2,2791,0,1
853,383,0,12948,190,7,1,1,1,214,3,1
